subject,item,cond,sentence,rating,age,sex,L1,bilingual,impairment,education
plausibility_1,46,distr_anim,Der Hersteller half.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,46,distr_inan,Der Umtausch half.,4,27,weiblich,deutsch,nein,nein,master
plausibility_1,46,subject,Der Verkäufer half.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,46,intro,Die Rentnerin half.,5,27,weiblich,deutsch,nein,nein,master
plausibility_1,29,intro,Der Parkwächter griff ein.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,29,distr_anim,Der Veterinär griff ein.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,29,subject,Die Tierpflegerin griff ein.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,29,distr_inan,Das Gehege griff ein.,3,27,weiblich,deutsch,nein,nein,master
plausibility_1,81,distr_inan,Die Aussage log.,1,27,weiblich,deutsch,nein,nein,master
plausibility_1,81,distr_anim,Der Zeuge log.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,81,subject,Der Angeklagte log.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,81,intro,Der Anwalt log.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,78,intro,Der Jugendliche ging aus.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,78,distr_anim,Der Rapper ging aus.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,78,distr_inan,Der Auftritt ging aus.,2,27,weiblich,deutsch,nein,nein,master
plausibility_1,78,subject,Der Kumpel ging aus.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,18,intro,Der Reporter schummelte.,4,27,weiblich,deutsch,nein,nein,master
plausibility_1,18,subject,Der Boxer schummelte.,4,27,weiblich,deutsch,nein,nein,master
plausibility_1,18,distr_anim,Der Ringrichter schummelte.,5,27,weiblich,deutsch,nein,nein,master
plausibility_1,18,distr_inan,Der Kampf schummelte.,2,27,weiblich,deutsch,nein,nein,master
plausibility_1,119,intro,Der Abteilungsleiter entschied.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,119,subject,Die Personalrätin entschied.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,119,distr_inan,Der Vertrag entschied.,4,27,weiblich,deutsch,nein,nein,master
plausibility_1,119,distr_anim,Der Kandidat entschied.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,101,intro,Der Hauptmann reiste ab.,7,27,weiblich,deutsch,nein,nein,master
plausibility_1,101,distr_anim,Der Ausbilder reiste ab.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,101,subject,Der Rekrut reiste ab.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,101,distr_inan,Die Grundausbildung reiste ab.,1,27,weiblich,deutsch,nein,nein,master
plausibility_1,106,subject,Die Gräfin investierte.,6,27,weiblich,deutsch,nein,nein,master
plausibility_1,106,distr_inan,Der Umbau investierte.,2,27,weiblich,deutsch,nein,nein,master
